doc_id,title,department,year,region,text
D001,"Document Title D001 (marketing)",marketing,2024,north_america,"This is the body text of document D001 in department marketing for region north_america and year 2024."
D002,"Document Title D002 (legal)",legal,2025,asia_pacific,"This is the body text of document D002 in department legal for region asia_pacific and year 2025."
D003,"Document Title D003 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D003 in department engineering for region asia_pacific and year 2020."
D004,"Document Title D004 (marketing)",marketing,2022,latin_america,"This is the body text of document D004 in department marketing for region latin_america and year 2022."
D005,"Document Title D005 (legal)",legal,2022,asia_pacific,"This is the body text of document D005 in department legal for region asia_pacific and year 2022."
D006,"Document Title D006 (marketing)",marketing,2021,north_america,"This is the body text of document D006 in department marketing for region north_america and year 2021."
D007,"Document Title D007 (legal)",legal,2022,asia_pacific,"This is the body text of document D007 in department legal for region asia_pacific and year 2022."
D008,"Document Title D008 (engineering)",engineering,2020,latin_america,"This is the body text of document D008 in department engineering for region latin_america and year 2020."
D009,"Document Title D009 (hr)",hr,2024,north_america,"This is the body text of document D009 in department hr for region north_america and year 2024."
D010,"Document Title D010 (marketing)",marketing,2023,latin_america,"This is the body text of document D010 in department marketing for region latin_america and year 2023."
D011,"Document Title D011 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D011 in department marketing for region asia_pacific and year 2024."
D012,"Document Title D012 (legal)",legal,2026,europe,"This is the body text of document D012 in department legal for region europe and year 2026."
D013,"Document Title D013 (hr)",hr,2021,asia_pacific,"This is the body text of document D013 in department hr for region asia_pacific and year 2021."
D014,"Document Title D014 (marketing)",marketing,2020,north_america,"This is the body text of document D014 in department marketing for region north_america and year 2020."
D015,"Document Title D015 (sales)",sales,2024,north_america,"This is the body text of document D015 in department sales for region north_america and year 2024."
D016,"Document Title D016 (marketing)",marketing,2020,north_america,"This is the body text of document D016 in department marketing for region north_america and year 2020."
D017,"Document Title D017 (finance)",finance,2022,europe,"This is the body text of document D017 in department finance for region europe and year 2022."
D018,"Document Title D018 (finance)",finance,2020,asia_pacific,"This is the body text of document D018 in department finance for region asia_pacific and year 2020."
D019,"Document Title D019 (sales)",sales,2026,europe,"This is the body text of document D019 in department sales for region europe and year 2026."
D020,"Document Title D020 (hr)",hr,2024,north_america,"This is the body text of document D020 in department hr for region north_america and year 2024."
D021,"Document Title D021 (sales)",sales,2024,north_america,"This is the body text of document D021 in department sales for region north_america and year 2024."
D022,"Document Title D022 (sales)",sales,2021,asia_pacific,"This is the body text of document D022 in department sales for region asia_pacific and year 2021."
D023,"Document Title D023 (marketing)",marketing,2025,north_america,"This is the body text of document D023 in department marketing for region north_america and year 2025."
D024,"Document Title D024 (engineering)",engineering,2026,north_america,"This is the body text of document D024 in department engineering for region north_america and year 2026."
D025,"Document Title D025 (finance)",finance,2020,asia_pacific,"This is the body text of document D025 in department finance for region asia_pacific and year 2020."
D026,"Document Title D026 (hr)",hr,2023,north_america,"This is the body text of document D026 in department hr for region north_america and year 2023."
D027,"Document Title D027 (sales)",sales,2025,asia_pacific,"This is the body text of document D027 in department sales for region asia_pacific and year 2025."
D028,"Document Title D028 (finance)",finance,2024,europe,"This is the body text of document D028 in department finance for region europe and year 2024."
D029,"Document Title D029 (finance)",finance,2025,europe,"This is the body text of document D029 in department finance for region europe and year 2025."
D030,"Document Title D030 (hr)",hr,2024,europe,"This is the body text of document D030 in department hr for region europe and year 2024."
D031,"Document Title D031 (legal)",legal,2026,north_america,"This is the body text of document D031 in department legal for region north_america and year 2026."
D032,"Document Title D032 (legal)",legal,2025,asia_pacific,"This is the body text of document D032 in department legal for region asia_pacific and year 2025."
D033,"Document Title D033 (sales)",sales,2025,latin_america,"This is the body text of document D033 in department sales for region latin_america and year 2025."
D034,"Document Title D034 (marketing)",marketing,2022,north_america,"This is the body text of document D034 in department marketing for region north_america and year 2022."
D035,"Document Title D035 (engineering)",engineering,2025,asia_pacific,"This is the body text of document D035 in department engineering for region asia_pacific and year 2025."
D036,"Document Title D036 (marketing)",marketing,2024,north_america,"This is the body text of document D036 in department marketing for region north_america and year 2024."
D037,"Document Title D037 (sales)",sales,2023,europe,"This is the body text of document D037 in department sales for region europe and year 2023."
D038,"Document Title D038 (marketing)",marketing,2022,europe,"This is the body text of document D038 in department marketing for region europe and year 2022."
D039,"Document Title D039 (engineering)",engineering,2026,latin_america,"This is the body text of document D039 in department engineering for region latin_america and year 2026."
D040,"Document Title D040 (marketing)",marketing,2020,north_america,"This is the body text of document D040 in department marketing for region north_america and year 2020."
D041,"Document Title D041 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D041 in department marketing for region asia_pacific and year 2020."
D042,"Document Title D042 (marketing)",marketing,2020,europe,"This is the body text of document D042 in department marketing for region europe and year 2020."
D043,"Document Title D043 (marketing)",marketing,2025,europe,"This is the body text of document D043 in department marketing for region europe and year 2025."
D044,"Document Title D044 (marketing)",marketing,2020,europe,"This is the body text of document D044 in department marketing for region europe and year 2020."
D045,"Document Title D045 (sales)",sales,2022,latin_america,"This is the body text of document D045 in department sales for region latin_america and year 2022."
D046,"Document Title D046 (finance)",finance,2023,europe,"This is the body text of document D046 in department finance for region europe and year 2023."
D047,"Document Title D047 (sales)",sales,2025,north_america,"This is the body text of document D047 in department sales for region north_america and year 2025."
D048,"Document Title D048 (hr)",hr,2022,latin_america,"This is the body text of document D048 in department hr for region latin_america and year 2022."
D049,"Document Title D049 (hr)",hr,2020,latin_america,"This is the body text of document D049 in department hr for region latin_america and year 2020."
D050,"Document Title D050 (legal)",legal,2020,asia_pacific,"This is the body text of document D050 in department legal for region asia_pacific and year 2020."
D051,"Document Title D051 (marketing)",marketing,2021,asia_pacific,"This is the body text of document D051 in department marketing for region asia_pacific and year 2021."
D052,"Document Title D052 (finance)",finance,2023,latin_america,"This is the body text of document D052 in department finance for region latin_america and year 2023."
D053,"Document Title D053 (legal)",legal,2020,europe,"This is the body text of document D053 in department legal for region europe and year 2020."
D054,"Document Title D054 (finance)",finance,2025,europe,"This is the body text of document D054 in department finance for region europe and year 2025."
D055,"Document Title D055 (engineering)",engineering,2026,north_america,"This is the body text of document D055 in department engineering for region north_america and year 2026."
D056,"Document Title D056 (hr)",hr,2024,latin_america,"This is the body text of document D056 in department hr for region latin_america and year 2024."
D057,"Document Title D057 (hr)",hr,2022,north_america,"This is the body text of document D057 in department hr for region north_america and year 2022."
D058,"Document Title D058 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D058 in department marketing for region asia_pacific and year 2020."
D059,"Document Title D059 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D059 in department engineering for region asia_pacific and year 2021."
D060,"Document Title D060 (legal)",legal,2024,latin_america,"This is the body text of document D060 in department legal for region latin_america and year 2024."
D061,"Document Title D061 (sales)",sales,2022,north_america,"This is the body text of document D061 in department sales for region north_america and year 2022."
D062,"Document Title D062 (marketing)",marketing,2021,europe,"This is the body text of document D062 in department marketing for region europe and year 2021."
D063,"Document Title D063 (sales)",sales,2020,europe,"This is the body text of document D063 in department sales for region europe and year 2020."
D064,"Document Title D064 (finance)",finance,2023,europe,"This is the body text of document D064 in department finance for region europe and year 2023."
D065,"Document Title D065 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D065 in department marketing for region asia_pacific and year 2023."
D066,"Document Title D066 (engineering)",engineering,2023,north_america,"This is the body text of document D066 in department engineering for region north_america and year 2023."
D067,"Document Title D067 (sales)",sales,2022,latin_america,"This is the body text of document D067 in department sales for region latin_america and year 2022."
D068,"Document Title D068 (legal)",legal,2024,europe,"This is the body text of document D068 in department legal for region europe and year 2024."
D069,"Document Title D069 (marketing)",marketing,2025,asia_pacific,"This is the body text of document D069 in department marketing for region asia_pacific and year 2025."
D070,"Document Title D070 (finance)",finance,2020,asia_pacific,"This is the body text of document D070 in department finance for region asia_pacific and year 2020."
D071,"Document Title D071 (finance)",finance,2025,latin_america,"This is the body text of document D071 in department finance for region latin_america and year 2025."
D072,"Document Title D072 (sales)",sales,2022,asia_pacific,"This is the body text of document D072 in department sales for region asia_pacific and year 2022."
D073,"Document Title D073 (sales)",sales,2024,asia_pacific,"This is the body text of document D073 in department sales for region asia_pacific and year 2024."
D074,"Document Title D074 (legal)",legal,2023,north_america,"This is the body text of document D074 in department legal for region north_america and year 2023."
D075,"Document Title D075 (hr)",hr,2020,asia_pacific,"This is the body text of document D075 in department hr for region asia_pacific and year 2020."
D076,"Document Title D076 (marketing)",marketing,2020,europe,"This is the body text of document D076 in department marketing for region europe and year 2020."
D077,"Document Title D077 (marketing)",marketing,2022,asia_pacific,"This is the body text of document D077 in department marketing for region asia_pacific and year 2022."
D078,"Document Title D078 (legal)",legal,2024,asia_pacific,"This is the body text of document D078 in department legal for region asia_pacific and year 2024."
D079,"Document Title D079 (engineering)",engineering,2022,latin_america,"This is the body text of document D079 in department engineering for region latin_america and year 2022."
D080,"Document Title D080 (engineering)",engineering,2022,europe,"This is the body text of document D080 in department engineering for region europe and year 2022."
D081,"Document Title D081 (engineering)",engineering,2025,europe,"This is the body text of document D081 in department engineering for region europe and year 2025."
D082,"Document Title D082 (marketing)",marketing,2024,europe,"This is the body text of document D082 in department marketing for region europe and year 2024."
D083,"Document Title D083 (finance)",finance,2021,north_america,"This is the body text of document D083 in department finance for region north_america and year 2021."
